,data,chuva 1h
12626,2022-04-11 00:00:00,0.0
12656,2022-04-11 01:00:00,0.0
12686,2022-04-11 02:00:00,0.0
12716,2022-04-11 03:00:00,0.0
12746,2022-04-11 04:00:00,0.0
12776,2022-04-11 05:00:00,0.0
12806,2022-04-11 06:00:00,0.0
12836,2022-04-11 07:00:00,0.0
12866,2022-04-11 08:00:00,0.0
12896,2022-04-11 09:00:00,0.0
12926,2022-04-11 10:00:00,0.0
12956,2022-04-11 11:00:00,0.0
12986,2022-04-11 12:00:00,0.0
13016,2022-04-11 13:00:00,0.0
13046,2022-04-11 14:00:00,0.0
13076,2022-04-11 15:00:00,0.0
13106,2022-04-11 16:00:00,0.0
13136,2022-04-11 18:00:00,0.0
13166,2022-04-11 19:00:00,0.0
13196,2022-04-11 20:00:00,0.0
13226,2022-04-11 21:00:00,0.0
13256,2022-04-11 22:00:00,0.0
13286,2022-04-11 23:00:00,0.0
13316,2022-04-12 00:00:00,0.0
13346,2022-04-12 01:00:00,0.0
13376,2022-04-12 02:00:00,0.0
13406,2022-04-12 03:00:00,0.0
13436,2022-04-12 04:00:00,0.0
13466,2022-04-12 05:00:00,0.0
13496,2022-04-12 06:00:00,0.0
13526,2022-04-12 07:00:00,0.0
13556,2022-04-12 08:00:00,0.0
13586,2022-04-12 09:00:00,0.0
13616,2022-04-12 10:00:00,0.0
13646,2022-04-12 11:00:00,0.0
13676,2022-04-12 12:00:00,0.0
13706,2022-04-12 13:00:00,0.0
13736,2022-04-12 14:00:00,0.0
13766,2022-04-12 15:00:00,0.0
13796,2022-04-12 16:00:00,0.0
13826,2022-04-12 17:00:00,0.0
13856,2022-04-12 18:00:00,0.0
13886,2022-04-12 19:00:00,0.0
13916,2022-04-12 20:00:00,0.0
13946,2022-04-12 21:00:00,0.0
13976,2022-04-12 22:00:00,0.0
14006,2022-04-12 23:00:00,0.0
14036,2022-04-13 00:00:00,0.0
14067,2022-04-13 01:00:00,0.0
14096,2022-04-13 02:00:00,0.0
14126,2022-04-13 03:00:00,0.0
14156,2022-04-13 04:00:00,0.0
14186,2022-04-13 05:00:00,0.0
14216,2022-04-13 06:00:00,0.0
14246,2022-04-13 07:00:00,0.0
14276,2022-04-13 08:00:00,0.0
14306,2022-04-13 09:00:00,0.0
14336,2022-04-13 10:00:00,0.0
14366,2022-04-13 11:00:00,0.0
14396,2022-04-13 12:00:00,0.0
14426,2022-04-13 13:00:00,0.0
14456,2022-04-13 14:00:00,0.0
14486,2022-04-13 15:00:00,0.0
14516,2022-04-13 16:00:00,0.0
14546,2022-04-13 17:00:00,0.0
14576,2022-04-13 18:00:00,0.0
14606,2022-04-13 19:00:00,0.0
14636,2022-04-13 20:00:00,0.0
14666,2022-04-13 21:00:00,0.0
14696,2022-04-13 22:00:00,0.0
14726,2022-04-13 23:00:00,0.0
14755,2022-04-14 00:00:00,0.0
14784,2022-04-14 01:00:00,0.0
14814,2022-04-14 02:00:00,0.0
14844,2022-04-14 03:00:00,0.0
14874,2022-04-14 04:00:00,0.0
14904,2022-04-14 05:00:00,0.0
14922,2022-04-14 06:00:00,0.2
14981,2022-04-14 07:00:00,10.6
14985,2022-04-14 08:00:00,1.2
15029,2022-04-14 09:00:00,0.0
15062,2022-04-14 10:00:00,1.8
15088,2022-04-14 11:00:00,1.4
15111,2022-04-14 12:00:00,1.4
15154,2022-04-14 13:00:00,0.2
15177,2022-04-14 14:00:00,0.0
15204,2022-04-14 15:00:00,0.0
15237,2022-04-14 16:00:00,0.0
15265,2022-04-14 17:00:00,0.0
15294,2022-04-14 18:00:00,0.0
15325,2022-04-14 19:00:00,0.0
15354,2022-04-14 20:00:00,0.0
15384,2022-04-14 21:00:00,0.0
15414,2022-04-14 22:00:00,0.2
15456,2022-04-14 23:00:00,0.4
15475,2022-04-15 00:00:00,12.0
15508,2022-04-15 01:00:00,1.0
15542,2022-04-15 02:00:00,2.0
15568,2022-04-15 03:00:00,1.2
15586,2022-04-15 04:00:00,1.8
15793,2022-04-15 16:00:00,0.0
15823,2022-04-15 17:00:00,0.0
15853,2022-04-15 18:00:00,0.0
15883,2022-04-15 19:00:00,0.0
15913,2022-04-15 20:00:00,0.0
15943,2022-04-15 21:00:00,0.0
15973,2022-04-15 22:00:00,0.0
16003,2022-04-15 23:00:00,0.0
16033,2022-04-16 00:00:00,0.0
16269,2022-04-16 08:00:00,0.4
16326,2022-04-16 10:00:00,0.2
16396,2022-04-16 12:00:00,0.0
16423,2022-04-16 13:00:00,0.0
16453,2022-04-16 14:00:00,0.0
16483,2022-04-16 15:00:00,0.0
16513,2022-04-16 16:00:00,0.0
16543,2022-04-16 17:00:00,0.0
16574,2022-04-16 18:00:00,0.0
16603,2022-04-16 19:00:00,0.0
16633,2022-04-16 20:00:00,0.0
16663,2022-04-16 21:00:00,0.0
16693,2022-04-16 22:00:00,0.0
16723,2022-04-16 23:00:00,0.0
16743,2022-04-17 00:00:00,0.4
16774,2022-04-17 01:00:00,0.2
16813,2022-04-17 02:00:00,0.0
16844,2022-04-17 03:00:00,0.0
16873,2022-04-17 04:00:00,0.0
16903,2022-04-17 05:00:00,0.0
16933,2022-04-17 06:00:00,0.0
16964,2022-04-17 07:00:00,0.0
16984,2022-04-17 08:00:00,1.2
17037,2022-04-17 09:00:00,0.0
17058,2022-04-17 10:00:00,0.0
17084,2022-04-17 11:00:00,0.0
17114,2022-04-17 12:00:00,0.0
17143,2022-04-17 13:00:00,0.0
17173,2022-04-17 14:00:00,0.0
17203,2022-04-17 15:00:00,0.0
17233,2022-04-17 16:00:00,0.0
17263,2022-04-17 17:00:00,0.0
17293,2022-04-17 18:00:00,0.0
17324,2022-04-17 19:00:00,0.0
17353,2022-04-17 20:00:00,0.0
17383,2022-04-17 21:00:00,0.0
17413,2022-04-17 22:00:00,0.0
17473,2022-04-18 00:00:00,0.0
17503,2022-04-18 01:00:00,0.0
17533,2022-04-18 02:00:00,0.0
17563,2022-04-18 03:00:00,0.0
17593,2022-04-18 04:00:00,0.0
17623,2022-04-18 05:00:00,0.0
17653,2022-04-18 06:00:00,0.0
17683,2022-04-18 07:00:00,0.0
17713,2022-04-18 08:00:00,0.0
17743,2022-04-18 09:00:00,0.0
17773,2022-04-18 10:00:00,0.0
17803,2022-04-18 11:00:00,0.0
17833,2022-04-18 12:00:00,0.0
17863,2022-04-18 13:00:00,0.0
17893,2022-04-18 14:00:00,0.0
17923,2022-04-18 15:00:00,0.0
17953,2022-04-18 16:00:00,0.0
17982,2022-04-18 17:00:00,0.0
18012,2022-04-18 18:00:00,0.0
18042,2022-04-18 19:00:00,0.0
18072,2022-04-18 20:00:00,0.0
18102,2022-04-18 21:00:00,0.0
18132,2022-04-18 22:00:00,0.0
18162,2022-04-18 23:00:00,0.0
18192,2022-04-19 00:00:00,0.0
18222,2022-04-19 01:00:00,0.0
18252,2022-04-19 02:00:00,0.0
18282,2022-04-19 03:00:00,0.0
18312,2022-04-19 04:00:00,0.0
18342,2022-04-19 05:00:00,0.0
18372,2022-04-19 06:00:00,0.0
18402,2022-04-19 07:00:00,0.0
18432,2022-04-19 08:00:00,0.0
18462,2022-04-19 09:00:00,0.0
18492,2022-04-19 10:00:00,0.0
18522,2022-04-19 11:00:00,0.0
18552,2022-04-19 12:00:00,0.0
18582,2022-04-19 13:00:00,0.0
18612,2022-04-19 14:00:00,0.0
18642,2022-04-19 15:00:00,0.0
18672,2022-04-19 16:00:00,0.0
18702,2022-04-19 17:00:00,0.0
18733,2022-04-19 18:00:00,0.0
18762,2022-04-19 19:00:00,0.0
18792,2022-04-19 20:00:00,0.0
18822,2022-04-19 21:00:00,0.0
18852,2022-04-19 22:00:00,0.0
18883,2022-04-19 23:00:00,0.0
18912,2022-04-20 00:00:00,0.0
18942,2022-04-20 01:00:00,0.0
18972,2022-04-20 02:00:00,0.0
19002,2022-04-20 03:00:00,0.0
19032,2022-04-20 04:00:00,0.0
19062,2022-04-20 05:00:00,0.0
19092,2022-04-20 06:00:00,0.0
19122,2022-04-20 07:00:00,0.0
19152,2022-04-20 08:00:00,0.0
19182,2022-04-20 09:00:00,0.0
19212,2022-04-20 10:00:00,0.0
19242,2022-04-20 11:00:00,0.0
19273,2022-04-20 12:00:00,0.0
19302,2022-04-20 13:00:00,0.0
19333,2022-04-20 14:00:00,0.0
19362,2022-04-20 15:00:00,0.0
19392,2022-04-20 16:00:00,0.0
19422,2022-04-20 17:00:00,0.0
19452,2022-04-20 18:00:00,0.0
19482,2022-04-20 19:00:00,0.0
19512,2022-04-20 20:00:00,0.0
19542,2022-04-20 21:00:00,0.0
19572,2022-04-20 22:00:00,0.0
19632,2022-04-21 00:00:00,0.0
19662,2022-04-21 01:00:00,0.0
19692,2022-04-21 02:00:00,0.0
19722,2022-04-21 03:00:00,0.0
19752,2022-04-21 04:00:00,0.0
19782,2022-04-21 05:00:00,0.0
19812,2022-04-21 06:00:00,0.0
19842,2022-04-21 07:00:00,0.0
19872,2022-04-21 08:00:00,0.0
19902,2022-04-21 09:00:00,0.0
19932,2022-04-21 10:00:00,0.0
19962,2022-04-21 11:00:00,0.0
19992,2022-04-21 12:00:00,0.0
20022,2022-04-21 13:00:00,0.0
20052,2022-04-21 14:00:00,0.0
20083,2022-04-21 15:00:00,0.0
20112,2022-04-21 16:00:00,0.0
20142,2022-04-21 17:00:00,0.0
20172,2022-04-21 18:00:00,0.0
20202,2022-04-21 19:00:00,0.0
20232,2022-04-21 20:00:00,0.0
20262,2022-04-21 21:00:00,0.0
20292,2022-04-21 22:00:00,0.0
20322,2022-04-21 23:00:00,0.0
20352,2022-04-22 00:00:00,0.0
20382,2022-04-22 01:00:00,0.0
20412,2022-04-22 02:00:00,0.0
20442,2022-04-22 03:00:00,0.0
20472,2022-04-22 04:00:00,0.0
20502,2022-04-22 05:00:00,0.0
20532,2022-04-22 06:00:00,0.0
20562,2022-04-22 07:00:00,0.0
20592,2022-04-22 08:00:00,0.0
20622,2022-04-22 09:00:00,0.0
20652,2022-04-22 10:00:00,0.0
20682,2022-04-22 11:00:00,0.0
20712,2022-04-22 12:00:00,0.0
20742,2022-04-22 13:00:00,0.0
20772,2022-04-22 14:00:00,0.0
20832,2022-04-22 16:00:00,0.0
20862,2022-04-22 17:00:00,0.0
20892,2022-04-22 18:00:00,0.0
20922,2022-04-22 19:00:00,0.0
20952,2022-04-22 20:00:00,0.0
20982,2022-04-22 21:00:00,0.0
21012,2022-04-22 22:00:00,0.0
21042,2022-04-22 23:00:00,0.0
21372,2022-04-23 10:00:00,0.0
21432,2022-04-23 12:00:00,0.0
21492,2022-04-23 14:00:00,0.0
21522,2022-04-23 15:00:00,0.0
21552,2022-04-23 16:00:00,0.0
21582,2022-04-23 17:00:00,0.0
21612,2022-04-23 18:00:00,0.0
21642,2022-04-23 19:00:00,0.0
21672,2022-04-23 20:00:00,0.0
21702,2022-04-23 21:00:00,0.0
21732,2022-04-23 22:00:00,0.0
21760,2022-04-23 23:00:00,0.0
21791,2022-04-24 00:00:00,0.0
21820,2022-04-24 01:00:00,0.0
21850,2022-04-24 02:00:00,0.0
21880,2022-04-24 03:00:00,0.0
21910,2022-04-24 04:00:00,0.0
21940,2022-04-24 05:00:00,0.0
21970,2022-04-24 06:00:00,0.0
22000,2022-04-24 07:00:00,0.0
22030,2022-04-24 08:00:00,0.0
22060,2022-04-24 09:00:00,0.0
22090,2022-04-24 10:00:00,0.0
22120,2022-04-24 11:00:00,0.0
22150,2022-04-24 12:00:00,0.0
22180,2022-04-24 13:00:00,0.0
22210,2022-04-24 14:00:00,0.0
22241,2022-04-24 15:00:00,0.0
22270,2022-04-24 16:00:00,0.0
22300,2022-04-24 17:00:00,0.0
22330,2022-04-24 18:00:00,0.0
22360,2022-04-24 19:00:00,0.0
22390,2022-04-24 20:00:00,0.0
22420,2022-04-24 21:00:00,0.0
22450,2022-04-24 22:00:00,0.0
22480,2022-04-24 23:00:00,0.0
22510,2022-04-25 00:00:00,0.0
22540,2022-04-25 01:00:00,0.0
22570,2022-04-25 02:00:00,0.0
22600,2022-04-25 03:00:00,0.0
22630,2022-04-25 04:00:00,0.0
22660,2022-04-25 05:00:00,0.0
22690,2022-04-25 06:00:00,0.0
22720,2022-04-25 07:00:00,0.0
22750,2022-04-25 08:00:00,0.0
22780,2022-04-25 09:00:00,0.0
22810,2022-04-25 10:00:00,0.0
22840,2022-04-25 11:00:00,0.0
22870,2022-04-25 12:00:00,0.0
22900,2022-04-25 13:00:00,0.0
22931,2022-04-25 14:00:00,0.0
22961,2022-04-25 15:00:00,0.0
22990,2022-04-25 16:00:00,0.0
23020,2022-04-25 17:00:00,0.0
23050,2022-04-25 18:00:00,0.0
23080,2022-04-25 19:00:00,0.0
23110,2022-04-25 20:00:00,0.0
23140,2022-04-25 21:00:00,0.0
23170,2022-04-25 22:00:00,0.0
23200,2022-04-25 23:00:00,0.0
23230,2022-04-26 00:00:00,0.0
23260,2022-04-26 01:00:00,0.0
23290,2022-04-26 02:00:00,0.0
23320,2022-04-26 03:00:00,0.0
23350,2022-04-26 04:00:00,0.0
23380,2022-04-26 05:00:00,0.0
23410,2022-04-26 06:00:00,0.0
23440,2022-04-26 07:00:00,0.0
23470,2022-04-26 08:00:00,0.0
23500,2022-04-26 09:00:00,0.0
23530,2022-04-26 10:00:00,0.0
23560,2022-04-26 11:00:00,0.0
23590,2022-04-26 12:00:00,0.0
23620,2022-04-26 13:00:00,0.0
23650,2022-04-26 14:00:00,0.0
23680,2022-04-26 15:00:00,0.0
23711,2022-04-26 16:00:00,0.0
23740,2022-04-26 17:00:00,0.0
23770,2022-04-26 18:00:00,0.0
23800,2022-04-26 19:00:00,0.0
23830,2022-04-26 20:00:00,0.0
23860,2022-04-26 21:00:00,0.0
23890,2022-04-26 22:00:00,0.0
23920,2022-04-26 23:00:00,0.0
23950,2022-04-27 00:00:00,0.0
23980,2022-04-27 01:00:00,0.0
24010,2022-04-27 02:00:00,0.0
24040,2022-04-27 03:00:00,0.0
24070,2022-04-27 04:00:00,0.0
24100,2022-04-27 05:00:00,0.0
24130,2022-04-27 06:00:00,0.0
24160,2022-04-27 07:00:00,0.0
24190,2022-04-27 08:00:00,0.0
24220,2022-04-27 09:00:00,0.0
24280,2022-04-27 11:00:00,0.0
24310,2022-04-27 12:00:00,0.0
24340,2022-04-27 13:00:00,0.0
24370,2022-04-27 14:00:00,0.0
24402,2022-04-27 15:00:00,0.0
24430,2022-04-27 16:00:00,0.0
24461,2022-04-27 17:00:00,0.0
24490,2022-04-27 18:00:00,0.0
24550,2022-04-27 20:00:00,0.0
24580,2022-04-27 21:00:00,0.0
24610,2022-04-27 22:00:00,0.0
24640,2022-04-27 23:00:00,0.0
24670,2022-04-28 00:00:00,0.0
24760,2022-04-28 03:00:00,0.0
25000,2022-04-28 11:00:00,0.0
25060,2022-04-28 13:00:00,0.0
25090,2022-04-28 14:00:00,0.0
25120,2022-04-28 15:00:00,0.0
25150,2022-04-28 16:00:00,0.0
25180,2022-04-28 17:00:00,0.0
25210,2022-04-28 18:00:00,0.0
25240,2022-04-28 19:00:00,0.0
25270,2022-04-28 20:00:00,0.0
25300,2022-04-28 21:00:00,0.0
25330,2022-04-28 22:00:00,0.0
25360,2022-04-28 23:00:00,0.0
25390,2022-04-29 00:00:00,0.0
25420,2022-04-29 01:00:00,0.0
25450,2022-04-29 02:00:00,0.0
25480,2022-04-29 03:00:00,0.0
25540,2022-04-29 05:00:00,0.0
25570,2022-04-29 06:00:00,0.0
25600,2022-04-29 07:00:00,0.0
25630,2022-04-29 08:00:00,0.0
25660,2022-04-29 09:00:00,0.0
25690,2022-04-29 10:00:00,0.0
25720,2022-04-29 11:00:00,0.0
25750,2022-04-29 12:00:00,0.0
25780,2022-04-29 13:00:00,0.0
25810,2022-04-29 14:00:00,0.0
25840,2022-04-29 15:00:00,0.0
25871,2022-04-29 16:00:00,0.0
25900,2022-04-29 17:00:00,0.0
25930,2022-04-29 18:00:00,0.0
25960,2022-04-29 19:00:00,0.0
25990,2022-04-29 20:00:00,0.0
26020,2022-04-29 21:00:00,0.0
26050,2022-04-29 22:00:00,0.0
